V15,day,period
0,Friday,P5
0,Friday,P6
0,Friday,P7
0,Friday,P8
1,Friday,P9
0,Friday,P10
2,Friday,P11
3,Friday,P12
1,Friday,P13
3,Friday,P14
6,Friday,P15
6,Friday,P16
7,Friday,P17
6,Friday,P18
14,Friday,P19
15,Friday,P20
2,Friday,P21
4,Friday,P22
24,Friday,P23
1,Friday,P24
3,Friday,P25
2,Friday,P26
18,Friday,P27
8,Friday,P28
4,Friday,P29
8,Friday,P30
13,Friday,P31
4,Friday,P32
3,Friday,P33
4,Friday,P34
19,Friday,P35
4,Friday,P36
13,Friday,P37
7,Friday,P38
6,Friday,P39
11,Friday,P40
12,Friday,P41
2,Friday,P42
22,Friday,P43
2,Friday,P44
3,Friday,P45
0,Friday,P46
3,Friday,P47
2,Saturday,P0
0,Saturday,P1
0,Saturday,P2
1,Saturday,P3
0,Saturday,P4
2,Saturday,P5
0,Saturday,P6
0,Saturday,P7
0,Saturday,P8
1,Saturday,P9
0,Saturday,P10
1,Saturday,P11
3,Saturday,P12
4,Saturday,P13
1,Saturday,P14
2,Saturday,P15
5,Saturday,P16
6,Saturday,P17
4,Saturday,P18
9,Saturday,P19
2,Saturday,P20
1,Saturday,P21
2,Saturday,P22
14,Saturday,P23
12,Saturday,P24
5,Saturday,P25
1,Saturday,P26
16,Saturday,P27
3,Saturday,P28
5,Saturday,P29
0,Saturday,P30
7,Saturday,P31
5,Saturday,P32
2,Saturday,P33
1,Saturday,P34
6,Saturday,P35
7,Saturday,P36
10,Saturday,P37
2,Saturday,P38
14,Saturday,P39
14,Saturday,P40
12,Saturday,P41
1,Saturday,P42
3,Saturday,P43
6,Saturday,P44
2,Saturday,P45
2,Saturday,P46
2,Saturday,P47
1,Sunday,P0
1,Sunday,P1
1,Sunday,P2
0,Sunday,P3
0,Sunday,P4
0,Sunday,P5
0,Sunday,P6
0,Sunday,P7
0,Sunday,P8
2,Sunday,P9
0,Sunday,P10
0,Sunday,P11
4,Sunday,P12
1,Sunday,P13
1,Sunday,P14
3,Sunday,P15
2,Sunday,P16
6,Sunday,P17
3,Sunday,P18
5,Sunday,P19
2,Sunday,P20
1,Sunday,P21
1,Sunday,P22
12,Sunday,P23
18,Sunday,P24
3,Sunday,P25
0,Sunday,P26
17,Sunday,P27
3,Sunday,P28
3,Sunday,P29
3,Sunday,P30
17,Sunday,P31
7,Sunday,P32
2,Sunday,P33
3,Sunday,P34
15,Sunday,P35
5,Sunday,P36
7,Sunday,P37
4,Sunday,P38
15,Sunday,P39
5,Sunday,P40
13,Sunday,P41
2,Sunday,P42
6,Sunday,P43
1,Sunday,P44
0,Sunday,P45
0,Sunday,P46
8,Sunday,P47
3,Monday,P0
1,Monday,P1
1,Monday,P2
1,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
0,Monday,P7
1,Monday,P8
1,Monday,P9
0,Monday,P10
0,Monday,P11
1,Monday,P12
1,Monday,P13
4,Monday,P14
6,Monday,P15
5,Monday,P16
16,Monday,P17
9,Monday,P18
11,Monday,P19
20,Monday,P20
2,Monday,P21
6,Monday,P22
15,Monday,P23
13,Monday,P24
2,Monday,P25
